Event number,event_uuid,start_time,end_time,Primary category,Rally Shot Type,Z Game Number,Receiving Location,Won By,Result Type,Server,Serving Location
194,a8e8a2a1-65de-41e9-ab30-931a87922da7,259.191,264.191,Player A Zone 5,Drive,Game 1,Player B Zone 4,,,Player B,Right
195,b1c18e52-58a3-4862-8f13-317747fa2a6f,260.024,265.024,Player B Zone 4,Drop,Game 1,Player A Zone 3,,,Player B,Right
196,ec281e83-349c-49fb-a0b8-9873a29eac58,261.087,266.087,Player A Zone 3,Net Shot,Game 1,Net,Won Point Player B,Opp Forced Error,Player B,Right
197,0100b514-af52-4a28-b8e8-0265afbc94ce,265.339,270.339,Player B Zone 5,Serve,Game 1,Player A Zone 1,,,Player B,Left
198,01e6d469-33fa-4811-9333-deccc2ee9647,266.07,271.07,Player A Zone 1,Lift,Game 1,Player B Zone 9,,,Player B,Left
199,2981796c-4d69-4f7a-9c77-9b9c040c48e1,267.21,272.21,Player B Zone 9,Clear,Game 1,Player A Zone 7,,,Player B,Left
200,6385ef03-bfd7-4eb6-b435-991db74d596d,268.76,273.76,Player A Zone 7,Smash,Game 1,Player B Zone 5,,,Player B,Left
201,b48d3cda-8593-484c-8d1b-8ae186f2fc11,269.407,274.407,Player B Zone 5,Drop,Game 1,Player A Zone 2,,,Player B,Left
202,1f6af502-cf42-4038-8273-e590460249f0,270.368,275.368,Player A Zone 2,Lift,Game 1,Player B Zone 5,,,Player B,Left
203,017933c2-3169-4c20-9f6b-aeed8b28e181,271.108,276.108,Player B Zone 5,Smash,Game 1,Player A Zone 9,Won Point Player B,Winner,Player B,Left
204,c520e54a-90ee-4b0e-a2d9-4abcd3e73b2a,274.963,279.963,Player B Zone 5,Serve,Game 1,Player A Zone 3,,,Player B,Right
205,2cfc9382-29c7-4439-b5cf-46254ea281f4,275.744,280.744,Player A Zone 3,Lift,Game 1,Player B Zone 8,,,Player B,Right
206,02aa87a8-747b-4942-956f-2f84920192ac,277.178,282.178,Player B Zone 8,Drive,Game 1,Player A Zone 7,,,Player B,Right
207,35a9f00b-4d4d-492c-aa8d-cb461e3876df,278.315,283.315,Player A Zone 7,Clear,Game 1,Player B Zone 8,,,Player B,Right
208,15ae6b79-5652-4408-95f9-6282a021d48b,279.389,284.389,Player B Zone 8,Smash,Game 1,Player A Zone 9,Won Point Player B,Winner,Player B,Right
209,8debd291-d738-4673-ab65-825667d7f197,283.456,288.456,Player B Zone 5,Serve,Game 1,Player A Zone 2,,,Player B,Left
210,99339bd1-b78f-4165-bbe1-d76140de74ae,284.199,289.199,Player A Zone 2,Lift,Game 1,Out,Won Point Player B,Opp Forced Error,Player B,Left
211,727ca6ec-85a0-4de3-93a4-276f0bb7d553,288.855,293.855,Player B Zone 5,Serve,Game 1,Player A Zone 3,,,Player B,Right
212,d774e96e-9845-48b6-a2d3-e9dcb5ef6f41,289.562,294.562,Player A Zone 3,Net Shot,Game 1,Player B Zone 3,,,Player B,Right
213,c33ada64-72e3-44b1-9515-aa8efa295faf,290.405,295.405,Player B Zone 3,Lift,Game 1,Player A Zone 9,,,Player B,Right
214,5bedc975-2e4f-43cf-ae8f-2cbd5ab95f3b,291.735,296.735,Player A Zone 9,Drive,Game 1,Player B Zone 4,,,Player B,Right
215,f89b9465-6612-4fc4-ba27-b7df4484474e,292.372,297.372,Player B Zone 4,Drop,Game 1,Player A Zone 6,,,Player B,Right
216,7c3b0c3f-865c-4730-8ba1-60a5305b65e2,293.237,298.237,Player A Zone 6,Drop,Game 1,Player B Zone 1,,,Player B,Right
217,40b10be7-1b3c-4b90-917c-e50957d64d5b,294.023,299.023,Player B Zone 1,Lift,Game 1,Player A Zone 7,,,Player B,Right
218,ee31fbb2-4895-48a2-8d43-579695502309,295.321,300.321,Player A Zone 7,Drop,Game 1,Player B Zone 1,,,Player B,Right
219,4ee7be9b-9dec-4b10-b7a6-f7dbb4ca6f70,296.32,301.32,Player B Zone 1,Net Shot,Game 1,Player A Zone 1,,,Player B,Right
220,dc22cb71-d79f-4b37-8a2d-660759eec4fe,297.213,302.213,Player A Zone 1,Net Shot,Game 1,Player B Zone 3,,,Player B,Right
221,73d256b9-06b6-4798-b69a-c51378b2273f,298.028,303.028,Player B Zone 3,Lift,Game 1,Player A Zone 7,,,Player B,Right
222,59c0edf5-051c-4715-a3b8-8b85cc152799,299.636,304.636,Player A Zone 7,Clear,Game 1,Player B Zone 9,,,Player B,Right
223,bd3f87d9-e2f5-43e4-9d0d-bc3faa6d3ff0,301.095,306.095,Player B Zone 9,Smash,Game 1,Player A Zone 6,Won Point Player B,Winner,Player B,Right
224,4198bff4-eff4-457e-8db9-3d09c0f99725,305.173,310.173,Player B Zone 5,Serve,Game 1,Player A Zone 2,,,Player B,Left
225,1e2da46d-a12e-4b05-8d0b-59976c59a764,306.03,311.03,Player A Zone 2,Net Shot,Game 1,Player B Zone 3,,,Player B,Left
226,df0bc4df-d829-4ff5-8e1c-fd14225c95ef,306.89,311.89,Player B Zone 3,Lift,Game 1,Player A Zone 7,,,Player B,Left
227,5bcb74b5-4a7d-4f7b-95e8-a1a46f141583,308.405,313.405,Player A Zone 7,Smash,Game 1,Player B Zone 4,,,Player B,Left
228,ee921e6f-66d5-4499-8541-c4f4f55d5d89,309.138,314.138,Player B Zone 4,Drop,Game 1,Player A Zone 3,Won Point Player B,Winner,Player B,Left
229,563772d4-9e91-45c3-9a21-9e79ed326da9,314.475,319.475,Player B Zone 5,Serve,Game 1,Player A Zone 3,,,Player B,Right
230,3572412f-d5b0-414d-8f4f-b995c6f77afd,315.149,320.149,Player A Zone 3,Lift,Game 1,Player B Zone 7,,,Player B,Right
231,41816c48-5f66-4206-b6da-779a658e4f0a,316.257,321.257,Player B Zone 7,Drop,Game 1,Player A Zone 1,,,Player B,Right
232,9dd97c92-dd48-4a31-af7c-b355c5e4bbe7,317.164,322.164,Player A Zone 1,Lift,Game 1,Player B Zone 8,,,Player B,Right
233,b03f20dd-89e4-4515-acb5-ac16b5428080,318.015,323.015,Player B Zone 8,Smash,Game 1,Net,Won Point Player A,Opp Forced Error,Player B,Right
234,87c270a7-265b-4a32-8526-aca11dcab06b,321.807,326.807,Player A Zone 5,Serve,Game 1,Player B Zone 8,,,Player A,Right
235,809d136d-df1d-416f-8bc2-7c2632222dad,323.254,328.254,Player B Zone 8,Clear,Game 1,Player A Zone 9,,,Player A,Right
236,9ad9cd58-d9ad-4a24-bd24-898ee233d53b,324.367,329.367,Player A Zone 9,Clear,Game 1,Player B Zone 7,,,Player A,Right
237,080fd613-276c-4afa-8a46-4b203b104e6f,325.736,330.736,Player B Zone 7,Smash,Game 1,Player A Zone 6,,,Player A,Right
238,deb02577-9bef-4e59-a7aa-c3b8e4e39761,326.341,331.341,Player A Zone 6,Lift,Game 1,Player B Zone 9,,,Player A,Right
239,a8e25bc3-b104-4060-9392-0993bd87566f,327.431,332.431,Player B Zone 9,Drive,Game 1,Player A Zone 4,,,Player A,Right
240,947e0a38-9b2e-4898-b65b-33d737bf2381,328.515,333.515,Player A Zone 4,Lift,Game 1,Player B Zone 7,,,Player A,Right
241,2ea9141d-71b6-4d3a-8342-d54f46b7815e,329.47,334.47,Player B Zone 7,Smash,Game 1,Out,Won Point Player A,Opp Forced Error,Player A,Right
242,6eaf3df2-4f22-466b-98b8-2ab1cb30c305,332.33,337.33,Player A Zone 5,Serve,Game 1,Player B Zone 7,,,Player A,Left
243,77012f9d-b107-4e07-b6ef-2e5c33eae53f,333.736,338.736,Player B Zone 7,Drop,Game 1,Player A Zone 3,,,Player A,Left
244,0409d1c1-4df2-4c12-9763-7aaece7af468,334.881,339.881,Player A Zone 3,Net Shot,Game 1,Player B Zone 1,,,Player A,Left
245,61f3e065-6387-4080-a8ee-39881e1d5826,335.577,340.577,Player B Zone 1,Lift,Game 1,Player A Zone 7,,,Player A,Left
246,532f94fe-1b73-480a-a3c9-67a412ed16ed,337.262,342.262,Player A Zone 7,Clear,Game 1,Out,Won Point Player B,Opp Forced Error,Player A,Left
247,996ed18a-9d08-47dd-a6a0-92b241713a5f,344.338,349.338,Player B Zone 5,Serve,Game 2,Player A Zone 2,,,Player B,Right
248,67f1a537-5dc5-4543-b0ca-56fbb7b549f8,345.109,350.109,Player A Zone 2,Lift,Game 2,Player B Zone 9,,,Player B,Right
249,1dd97808-9cff-4eb3-9e19-5a6d8058dd59,346.304,351.304,Player B Zone 9,Lift,Game 2,Player A Zone 7,,,Player B,Right
250,9b9f74c0-0e82-4944-99c6-657775b21b36,347.43,352.43,Player A Zone 7,Smash,Game 2,Player B Zone 4,,,Player B,Right
251,c406f6c9-a492-4868-aad7-7b8e172007ce,348.151,353.151,Player B Zone 4,Short Defence,Game 2,Player A Zone 3,,,Player B,Right
252,4a2b8049-413c-4657-b931-aada3f0096e0,349.199,354.199,Player A Zone 3,Net Shot,Game 2,Player B Zone 1,,,Player B,Right
253,13080c8a-0b64-45db-ad8d-af1cb9482d46,350.28,355.28,Player B Zone 1,Lift,Game 2,Player A Zone 8,,,Player B,Right
254,b070f000-2c36-4a2f-8fc5-e458c454b656,351.063,356.063,Player A Zone 8,Smash,Game 2,Player B Zone 6,,,Player B,Right
255,4a88460f-2fa7-43b8-a680-5cc518e47738,351.64,356.64,Player B Zone 6,Drop,Game 2,Player A Zone 1,,,Player B,Right
256,f801ad0a-4a48-45ee-ba8e-b0225b1ef17c,352.608,357.608,Player A Zone 1,Net Shot,Game 2,Player B Zone 2,,,Player B,Right
257,f6ab1dab-329b-41ea-9c4f-e83a290e906b,353.624,358.624,Player B Zone 2,Lift,Game 2,Player A Zone 8,,,Player B,Right
258,995021a5-2a93-44dd-adf9-f49cb746d0dd,354.645,359.645,Player A Zone 8,Drive,Game 2,Player B Zone 6,,,Player B,Right
259,8b7b8ee9-b4c2-4ee3-8098-8473de971b35,355.468,360.468,Player B Zone 6,Drop,Game 2,Player A Zone 3,,,Player B,Right
260,3de849ee-ba53-4c4e-8571-2a4b4e95e58a,356.251,361.251,Player A Zone 3,Lift,Game 2,Player B Zone 9,,,Player B,Right
261,fe4a6535-abde-4924-a520-19f1f54d371c,357.583,362.583,Player B Zone 9,Drop,Game 2,Player A Zone 1,,,Player B,Right
262,3675d30f-cdfe-4b64-b1fb-561c700dfc04,358.508,363.508,Player A Zone 1,Lift,Game 2,Player B Zone 9,,,Player B,Right
263,4e65609c-2821-4362-9390-a7d3341a6089,359.529,364.529,Player B Zone 9,Drive,Game 2,Out,Won Point Player A,Opp Forced Error,Player B,Right
264,85f3acd2-c1a7-45db-9b20-1b34e4ac8503,364.969,369.969,Player A Zone 5,Serve,Game 2,Player B Zone 7,,,Player A,Left
265,9a13439c-d451-477a-a9f2-8b7f7bb2c88d,366.517,371.517,Player B Zone 7,Clear,Game 2,Player A Zone 6,,,Player A,Left
266,dd433ede-8a6d-4469-b6c2-85d723f7a68d,367.705,372.705,Player A Zone 6,Drop,Game 2,Player B Zone 1,,,Player A,Left
267,3a7f769d-51b4-4214-af9d-c902d3bbb2a4,368.877,373.877,Player B Zone 1,Lift,Game 2,Player A Zone 8,,,Player A,Left
268,e0bf456b-9606-4bfe-8dd5-2c49cd28efef,369.904,374.904,Player A Zone 8,Smash,Game 2,Player B Zone 4,,,Player A,Left
269,32b6334e-79c7-4ae0-a1f1-3212ea77736b,370.712,375.712,Player B Zone 4,Drop,Game 2,Player A Zone 1,,,Player A,Left
270,41e35992-3a5c-465c-94b9-19c034ef998d,371.552,376.552,Player A Zone 1,Lift,Game 2,Player B Zone 7,,,Player A,Left
271,60a55432-ccd2-43f6-a452-544dd9516bba,373.097,378.097,Player B Zone 7,Smash,Game 2,Net,Won Point Player A,Opp Forced Error,Player A,Left
272,c3b96ff7-9ed6-4793-ab5c-2ad0486c1299,377.444,382.444,Player A Zone 5,Serve,Game 2,Player B Zone 8,,,Player A,Right
273,3cbba4fa-70af-4e51-a841-47990dc13805,379.092,384.092,Player B Zone 8,Drive,Game 2,Player A Zone 7,,,Player A,Right
274,cd511998-4009-4952-ab87-83f58300a0e0,379.811,384.811,Player A Zone 7,Drive,Game 2,Out,Won Point Player B,Opp Forced Error,Player A,Right
275,18eeec61-48f0-40ae-bb8a-f22cf356483f,384.599,389.599,Player B Zone 5,Serve,Game 2,Player A Zone 2,,,Player B,Left
276,fb9c2d6a-1e05-4df3-a389-d94701b93538,385.056,390.056,Player A Zone 2,Net Shot,Game 2,Player B Zone 1,,,Player B,Left
277,62945a68-fe00-4df6-b058-4b1118dcbc6b,386.068,391.068,Player B Zone 1,Lift,Game 2,Player A Zone 5,,,Player B,Left
278,e43a4b77-739c-4660-a134-ea649395777c,387.394,392.394,Player A Zone 5,Drive,Game 2,Player B Zone 7,,,Player B,Left
279,4abaa207-50f8-4685-a7d1-472b1dbd6888,388.15,393.15,Player B Zone 7,Short Defence,Game 2,Player A Zone 1,,,Player B,Left
280,39370e21-399f-47a9-a7ac-dda117aae64a,388.871,393.871,Player A Zone 1,Net Kill,Game 2,Player B Zone 8,Won Point Player A,Winner,Player B,Left
